[2022-06-08 17:01:50,065] Pre-Condition - Step 01: Open Browser 'firefox' and navigate to 'https://opensource-demo.orangehrmlive.com/'
[2022-06-08 17:04:00,792]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:00,801] Personal Details 03 - Step 01: Open 'Personal Details' tab at Side bar
[2022-06-08 17:04:01,766] Personal Details 03 - Step 02: Verify all fields at 'Personal Details' form are disabled
[2022-06-08 17:04:01,806]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:01,850]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:01,876]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:01,900]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:01,926]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:01,951]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:01,977]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,005]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,032]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,032] Personal Details 03 - Step 03: Click To 'Edit' button at 'Personal Details' form
[2022-06-08 17:04:02,314] Personal Details 03 - Step 04: Verify 'Employee ID' textbox is still disabled
[2022-06-08 17:04:02,347]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,347] Personal Details 03 - Step 05: Verify 'Driver's License Number' textbox is still disabled
[2022-06-08 17:04:02,389]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,389] Personal Details 03 - Step 06: Verify 'SSN Number' textbox is still disabled
[2022-06-08 17:04:02,420]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,420] Personal Details 03 - Step 07: Verify 'SIN Number' textbox is still disabled
[2022-06-08 17:04:02,450]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,451] Personal Details 03 - Step 08: Verify 'Date of Birth' textbox is still disabled
[2022-06-08 17:04:02,472]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:04:02,472] Personal Details 03 - Step 09: Enter new value to 'First Name' textbox
[2022-06-08 17:04:02,537] Personal Details 03 - Step 10: Enter new value to 'Last Name' textbox
[2022-06-08 17:04:02,595] Personal Details 03 - Step 11: Select new value to 'Gender' radio button
[2022-06-08 17:04:02,849] Personal Details 03 - Step 12: Select new value to 'Marital Status' dropdown
[2022-06-08 17:04:03,147] Personal Details 03 - Step 13: Select new value to 'Nationality' dropdown
[2022-06-08 17:04:33,743] Post-Condition: Close Browser 'firefox'
[2022-06-08 17:04:33,744] OS name = windows 10
[2022-06-08 17:04:33,744] Driver instance name = firefoxdriver: firefox on windows (65b309ff-7fdf-40ed-8d33-75bbf8b1cb0b)
[2022-06-08 17:06:41,663] Pre-Condition - Step 01: Open Browser 'firefox' and navigate to 'https://opensource-demo.orangehrmlive.com/'
[2022-06-08 17:06:49,744] Pre-Condition - Step 02: Login with Admin Role
[2022-06-08 17:06:53,174] Add New 01 - Step 01: Open 'Employee List' page
[2022-06-08 17:06:56,291] Add New 01 - Step 02: Click to 'Add' button
[2022-06-08 17:06:57,161] Add New 01 - Step 03: Enter to 'First Name' textbox with value is: Automation621
[2022-06-08 17:06:57,260] Add New 01 - Step 04: Enter to 'Last Name' textbox with value is: FC
[2022-06-08 17:06:57,316] Add New 01 - Step 05: Get value of 'Employee ID'
[2022-06-08 17:06:57,360] Add New 01 - Step 06: Click to 'Create Login Details' checkbox
[2022-06-08 17:06:57,626] Add New 01 - Step 07: Enter to 'User Name' textbox with value is: automationfc77
[2022-06-08 17:06:57,717] Add New 01 - Step 08: Enter to 'Password' textbox with value is: 123456789
[2022-06-08 17:06:57,794] Add New 01 - Step 09: Enter to 'Confirm Password' textbox with value is: 123456789
[2022-06-08 17:06:57,838] Add New 01 - Step 10: Select 'Enabled' value in 'Status' dropdown
[2022-06-08 17:06:57,891] Add New 01 - Step 11: Click to 'Save' button
[2022-06-08 17:06:58,674] Add New 01 - Step 12: Open 'Employee List' page
[2022-06-08 17:07:07,383] Add New 01 - Step 13: Enter to 'Employee Name' textbox with value is: Automation621 FC
[2022-06-08 17:07:07,460] Add New 01 - Step 14: Click to 'Search' button
[2022-06-08 17:07:13,719] Add New 01 - Step 15: Verify Employee Information displayed at 'Result Table'
[2022-06-08 17:07:13,809]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:13,885]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:13,971]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:14,042] Upload Avatar 02 - Step 01: Login with Employee Role
[2022-06-08 17:07:17,431] Upload Avatar 02 - Step 02: Click to My Info Menu
[2022-06-08 17:07:19,877] Upload Avatar 02 - Step 03: Click to Change Photo image
[2022-06-08 17:07:20,775] Upload Avatar 02 - Step 04: Upload new avatar
[2022-06-08 17:07:20,798] Upload Avatar 02 - Step 05: Click to Upload button
[2022-06-08 17:07:23,460] Upload Avatar 02 - Step 06: Verify Success Message is displayed
[2022-06-08 17:07:23,535]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:23,535] Upload Avatar 02 - Step 07: Verify new Avatar is displayed
[2022-06-08 17:07:23,591]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:23,599] Personal Details 03 - Step 01: Open 'Personal Details' tab at Side bar
[2022-06-08 17:07:24,598] Personal Details 03 - Step 02: Verify all fields at 'Personal Details' form are disabled
[2022-06-08 17:07:24,637]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,664]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,687]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,714]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,738]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,764]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,789]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,817]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,845]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:24,845] Personal Details 03 - Step 03: Click To 'Edit' button at 'Personal Details' form
[2022-06-08 17:07:25,121] Personal Details 03 - Step 04: Verify 'Employee ID' textbox is still disabled
[2022-06-08 17:07:25,158]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:25,158] Personal Details 03 - Step 05: Verify 'Driver's License Number' textbox is still disabled
[2022-06-08 17:07:25,186]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:25,186] Personal Details 03 - Step 06: Verify 'SSN Number' textbox is still disabled
[2022-06-08 17:07:25,216]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:25,216] Personal Details 03 - Step 07: Verify 'SIN Number' textbox is still disabled
[2022-06-08 17:07:25,238]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:25,238] Personal Details 03 - Step 08: Verify 'Date of Birth' textbox is still disabled
[2022-06-08 17:07:25,265]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:07:25,265] Personal Details 03 - Step 09: Enter new value to 'First Name' textbox
[2022-06-08 17:07:25,323] Personal Details 03 - Step 10: Enter new value to 'Last Name' textbox
[2022-06-08 17:07:25,382] Personal Details 03 - Step 11: Select new value to 'Gender' radio button
[2022-06-08 17:07:25,632] Personal Details 03 - Step 12: Select new value to 'Marital Status' dropdown
[2022-06-08 17:07:25,943] Personal Details 03 - Step 13: Select new value to 'Nationality' dropdown
[2022-06-08 17:07:26,242] Personal Details 03 - Step 14: Click to 'Save' button at 'Personal Details' form
[2022-06-08 17:07:27,831] Personal Details 03 - Step 15: Verify Success Message is displayed
[2022-06-08 17:07:58,062] Post-Condition: Close Browser 'firefox'
[2022-06-08 17:07:58,062] OS name = windows 10
[2022-06-08 17:07:58,062] Driver instance name = firefoxdriver: firefox on windows (7ae291e7-0ab2-4e10-b85d-06f51c2726a6)
[2022-06-08 17:08:41,697] Pre-Condition - Step 01: Open Browser 'firefox' and navigate to 'https://opensource-demo.orangehrmlive.com/'
[2022-06-08 17:08:49,603] Pre-Condition - Step 02: Login with Admin Role
[2022-06-08 17:08:53,186] Add New 01 - Step 01: Open 'Employee List' page
[2022-06-08 17:08:56,984] Add New 01 - Step 02: Click to 'Add' button
[2022-06-08 17:08:57,873] Add New 01 - Step 03: Enter to 'First Name' textbox with value is: Automation197
[2022-06-08 17:08:57,989] Add New 01 - Step 04: Enter to 'Last Name' textbox with value is: FC
[2022-06-08 17:08:58,047] Add New 01 - Step 05: Get value of 'Employee ID'
[2022-06-08 17:08:58,098] Add New 01 - Step 06: Click to 'Create Login Details' checkbox
[2022-06-08 17:08:58,369] Add New 01 - Step 07: Enter to 'User Name' textbox with value is: automationfc641
[2022-06-08 17:08:58,452] Add New 01 - Step 08: Enter to 'Password' textbox with value is: 123456789
[2022-06-08 17:08:58,525] Add New 01 - Step 09: Enter to 'Confirm Password' textbox with value is: 123456789
[2022-06-08 17:08:58,575] Add New 01 - Step 10: Select 'Enabled' value in 'Status' dropdown
[2022-06-08 17:08:58,644] Add New 01 - Step 11: Click to 'Save' button
[2022-06-08 17:08:59,465] Add New 01 - Step 12: Open 'Employee List' page
[2022-06-08 17:09:07,430] Add New 01 - Step 13: Enter to 'Employee Name' textbox with value is: Automation197 FC
[2022-06-08 17:09:07,491] Add New 01 - Step 14: Click to 'Search' button
[2022-06-08 17:09:13,797] Add New 01 - Step 15: Verify Employee Information displayed at 'Result Table'
[2022-06-08 17:09:13,884]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:13,957]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:14,048]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:14,126] Upload Avatar 02 - Step 01: Login with Employee Role
[2022-06-08 17:09:17,362] Upload Avatar 02 - Step 02: Click to My Info Menu
[2022-06-08 17:09:19,253] Upload Avatar 02 - Step 03: Click to Change Photo image
[2022-06-08 17:09:20,188] Upload Avatar 02 - Step 04: Upload new avatar
[2022-06-08 17:09:20,218] Upload Avatar 02 - Step 05: Click to Upload button
[2022-06-08 17:09:22,901] Upload Avatar 02 - Step 06: Verify Success Message is displayed
[2022-06-08 17:09:22,981]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:22,981] Upload Avatar 02 - Step 07: Verify new Avatar is displayed
[2022-06-08 17:09:23,035]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:23,043] Personal Details 03 - Step 01: Open 'Personal Details' tab at Side bar
[2022-06-08 17:09:23,978] Personal Details 03 - Step 02: Verify all fields at 'Personal Details' form are disabled
[2022-06-08 17:09:24,022]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,052]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,075]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,099]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,125]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,151]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,174]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,202]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,232]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,232] Personal Details 03 - Step 03: Click To 'Edit' button at 'Personal Details' form
[2022-06-08 17:09:24,510] Personal Details 03 - Step 04: Verify 'Employee ID' textbox is still disabled
[2022-06-08 17:09:24,557]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,557] Personal Details 03 - Step 05: Verify 'Driver's License Number' textbox is still disabled
[2022-06-08 17:09:24,583]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,583] Personal Details 03 - Step 06: Verify 'SSN Number' textbox is still disabled
[2022-06-08 17:09:24,619]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,619] Personal Details 03 - Step 07: Verify 'SIN Number' textbox is still disabled
[2022-06-08 17:09:24,652]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,653] Personal Details 03 - Step 08: Verify 'Date of Birth' textbox is still disabled
[2022-06-08 17:09:24,678]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:24,678] Personal Details 03 - Step 09: Enter new value to 'First Name' textbox
[2022-06-08 17:09:24,753] Personal Details 03 - Step 10: Enter new value to 'Last Name' textbox
[2022-06-08 17:09:24,819] Personal Details 03 - Step 11: Select new value to 'Gender' radio button
[2022-06-08 17:09:25,086] Personal Details 03 - Step 12: Select new value to 'Marital Status' dropdown
[2022-06-08 17:09:25,381] Personal Details 03 - Step 13: Select new value to 'Nationality' dropdown
[2022-06-08 17:09:25,662] Personal Details 03 - Step 14: Click to 'Save' button at 'Personal Details' form
[2022-06-08 17:09:27,296] Personal Details 03 - Step 15: Verify Success Message is displayed
[2022-06-08 17:09:27,361]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:27,361] Personal Details 03 - Step 16: Verify 'First Name' textbox is updated successfully
[2022-06-08 17:09:27,390]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:27,390] Personal Details 03 - Step 17: Verify 'Last Name' textbox is updated successfully
[2022-06-08 17:09:27,417]  -------------------------- FAILED -------------------------- 
[2022-06-08 17:09:27,418] Personal Details 03 - Step 18: Verify 'Gender' radio button is updated successfully
[2022-06-08 17:09:27,441]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:09:27,442] Personal Details 03 - Step 19: Verify 'Marital Status' dropdown is updated successfully
[2022-06-08 17:09:58,078] Post-Condition: Close Browser 'firefox'
[2022-06-08 17:09:58,078] OS name = windows 10
[2022-06-08 17:09:58,078] Driver instance name = firefoxdriver: firefox on windows (26e7611c-96eb-495c-be49-410a6a15d98e)
[2022-06-08 17:11:49,840] Pre-Condition - Step 01: Open Browser 'firefox' and navigate to 'https://opensource-demo.orangehrmlive.com/'
[2022-06-08 17:11:57,013] Pre-Condition - Step 02: Login with Admin Role
[2022-06-08 17:12:01,022] Add New 01 - Step 01: Open 'Employee List' page
[2022-06-08 17:12:03,866] Add New 01 - Step 02: Click to 'Add' button
[2022-06-08 17:12:04,712] Add New 01 - Step 03: Enter to 'First Name' textbox with value is: Automation511
[2022-06-08 17:12:04,856] Add New 01 - Step 04: Enter to 'Last Name' textbox with value is: FC
[2022-06-08 17:12:04,926] Add New 01 - Step 05: Get value of 'Employee ID'
[2022-06-08 17:12:04,981] Add New 01 - Step 06: Click to 'Create Login Details' checkbox
[2022-06-08 17:12:05,260] Add New 01 - Step 07: Enter to 'User Name' textbox with value is: automationfc765
[2022-06-08 17:12:05,327] Add New 01 - Step 08: Enter to 'Password' textbox with value is: 123456789
[2022-06-08 17:12:05,402] Add New 01 - Step 09: Enter to 'Confirm Password' textbox with value is: 123456789
[2022-06-08 17:12:05,455] Add New 01 - Step 10: Select 'Enabled' value in 'Status' dropdown
[2022-06-08 17:12:05,503] Add New 01 - Step 11: Click to 'Save' button
[2022-06-08 17:12:06,316] Add New 01 - Step 12: Open 'Employee List' page
[2022-06-08 17:12:14,114] Add New 01 - Step 13: Enter to 'Employee Name' textbox with value is: Automation511 FC
[2022-06-08 17:12:14,193] Add New 01 - Step 14: Click to 'Search' button
[2022-06-08 17:12:20,375] Add New 01 - Step 15: Verify Employee Information displayed at 'Result Table'
[2022-06-08 17:12:20,458]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:20,524]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:20,606]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:20,685] Upload Avatar 02 - Step 01: Login with Employee Role
[2022-06-08 17:12:23,887] Upload Avatar 02 - Step 02: Click to My Info Menu
[2022-06-08 17:12:25,757] Upload Avatar 02 - Step 03: Click to Change Photo image
[2022-06-08 17:12:26,614] Upload Avatar 02 - Step 04: Upload new avatar
[2022-06-08 17:12:26,640] Upload Avatar 02 - Step 05: Click to Upload button
[2022-06-08 17:12:29,258] Upload Avatar 02 - Step 06: Verify Success Message is displayed
[2022-06-08 17:12:29,324]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:29,324] Upload Avatar 02 - Step 07: Verify new Avatar is displayed
[2022-06-08 17:12:29,371]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:29,378] Personal Details 03 - Step 01: Open 'Personal Details' tab at Side bar
[2022-06-08 17:12:30,408] Personal Details 03 - Step 02: Verify all fields at 'Personal Details' form are disabled
[2022-06-08 17:12:30,451]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,475]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,499]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,524]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,551]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,575]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,601]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,627]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,654]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,654] Personal Details 03 - Step 03: Click To 'Edit' button at 'Personal Details' form
[2022-06-08 17:12:30,943] Personal Details 03 - Step 04: Verify 'Employee ID' textbox is still disabled
[2022-06-08 17:12:30,984]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:30,985] Personal Details 03 - Step 05: Verify 'Driver's License Number' textbox is still disabled
[2022-06-08 17:12:31,009]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:31,009] Personal Details 03 - Step 06: Verify 'SSN Number' textbox is still disabled
[2022-06-08 17:12:31,034]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:31,035] Personal Details 03 - Step 07: Verify 'SIN Number' textbox is still disabled
[2022-06-08 17:12:31,058]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:31,059] Personal Details 03 - Step 08: Verify 'Date of Birth' textbox is still disabled
[2022-06-08 17:12:31,085]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:31,085] Personal Details 03 - Step 09: Enter new value to 'First Name' textbox
[2022-06-08 17:12:31,151] Personal Details 03 - Step 10: Enter new value to 'Last Name' textbox
[2022-06-08 17:12:31,207] Personal Details 03 - Step 11: Select new value to 'Gender' radio button
[2022-06-08 17:12:31,466] Personal Details 03 - Step 12: Select new value to 'Marital Status' dropdown
[2022-06-08 17:12:31,761] Personal Details 03 - Step 13: Select new value to 'Nationality' dropdown
[2022-06-08 17:12:32,057] Personal Details 03 - Step 14: Click to 'Save' button at 'Personal Details' form
[2022-06-08 17:12:33,639] Personal Details 03 - Step 15: Verify Success Message is displayed
[2022-06-08 17:12:33,702]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:33,702] Personal Details 03 - Step 16: Verify 'First Name' textbox is updated successfully
[2022-06-08 17:12:33,730]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:33,730] Personal Details 03 - Step 17: Verify 'Last Name' textbox is updated successfully
[2022-06-08 17:12:33,759]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:33,759] Personal Details 03 - Step 18: Verify 'Gender' radio button is updated successfully
[2022-06-08 17:12:33,782]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:12:33,782] Personal Details 03 - Step 19: Verify 'Marital Status' dropdown is updated successfully
[2022-06-08 17:13:04,067] Post-Condition: Close Browser 'firefox'
[2022-06-08 17:13:04,067] OS name = windows 10
[2022-06-08 17:13:04,067] Driver instance name = firefoxdriver: firefox on windows (3818309f-8ba4-4abd-9a82-b5acefce441b)
[2022-06-08 17:16:13,217] Pre-Condition - Step 01: Open Browser 'firefox' and navigate to 'https://opensource-demo.orangehrmlive.com/'
[2022-06-08 17:16:20,367] Pre-Condition - Step 02: Login with Admin Role
[2022-06-08 17:16:24,662] Add New 01 - Step 01: Open 'Employee List' page
[2022-06-08 17:16:27,394] Add New 01 - Step 02: Click to 'Add' button
[2022-06-08 17:16:28,204] Add New 01 - Step 03: Enter to 'First Name' textbox with value is: Automation689
[2022-06-08 17:16:28,307] Add New 01 - Step 04: Enter to 'Last Name' textbox with value is: FC
[2022-06-08 17:16:28,363] Add New 01 - Step 05: Get value of 'Employee ID'
[2022-06-08 17:16:28,403] Add New 01 - Step 06: Click to 'Create Login Details' checkbox
[2022-06-08 17:16:28,682] Add New 01 - Step 07: Enter to 'User Name' textbox with value is: automationfc807
[2022-06-08 17:16:28,769] Add New 01 - Step 08: Enter to 'Password' textbox with value is: 123456789
[2022-06-08 17:16:28,839] Add New 01 - Step 09: Enter to 'Confirm Password' textbox with value is: 123456789
[2022-06-08 17:16:28,882] Add New 01 - Step 10: Select 'Enabled' value in 'Status' dropdown
[2022-06-08 17:16:28,932] Add New 01 - Step 11: Click to 'Save' button
[2022-06-08 17:16:29,709] Add New 01 - Step 12: Open 'Employee List' page
[2022-06-08 17:16:37,654] Add New 01 - Step 13: Enter to 'Employee Name' textbox with value is: Automation689 FC
[2022-06-08 17:16:37,748] Add New 01 - Step 14: Click to 'Search' button
[2022-06-08 17:16:43,944] Add New 01 - Step 15: Verify Employee Information displayed at 'Result Table'
[2022-06-08 17:16:44,038]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:44,115]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:44,207]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:44,297] Upload Avatar 02 - Step 01: Login with Employee Role
[2022-06-08 17:16:47,629] Upload Avatar 02 - Step 02: Click to My Info Menu
[2022-06-08 17:16:49,530] Upload Avatar 02 - Step 03: Click to Change Photo image
[2022-06-08 17:16:50,469] Upload Avatar 02 - Step 04: Upload new avatar
[2022-06-08 17:16:50,500] Upload Avatar 02 - Step 05: Click to Upload button
[2022-06-08 17:16:53,156] Upload Avatar 02 - Step 06: Verify Success Message is displayed
[2022-06-08 17:16:53,215]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:53,215] Upload Avatar 02 - Step 07: Verify new Avatar is displayed
[2022-06-08 17:16:53,259]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:53,267] Personal Details 03 - Step 01: Open 'Personal Details' tab at Side bar
[2022-06-08 17:16:54,285] Personal Details 03 - Step 02: Verify all fields at 'Personal Details' form are disabled
[2022-06-08 17:16:54,339]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:54,365]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:54,391]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:54,416]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:54,442]  -------------------------- PASSED -------------------------- 
[2022-06-08 17:16:54,469]  -------------------------- PASSED -------------------------- 
